,link,address,area,rooms,bathroom,garages,price,condo,vivareal-id,price/m2
2,www.vivareal.com.br/imovel/apartamento-2-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-110m2-venda-RS1139000-id-2485264080,Rua Jacarandás da Península,110,2,2,2,1139000, 1947,2485264080,10354
3,www.vivareal.com.br/imovel/apartamento-4-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-366m2-venda-RS4120000-id-2465723132,Rua Jacarandás da Península,366,4,6,4,4120000, 3900,2465723132,11256
5,www.vivareal.com.br/imovel/apartamento-3-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-128m2-venda-RS1280000-id-2486458598,Rua Jacarandás da Península,128,3,3,2,1280000, 1685,2486458598,10000
6,www.vivareal.com.br/imovel/apartamento-4-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-130m2-venda-RS1520000-id-2427732411,Rua Jacarandás da Península,130,4,4,2,1520000, 1650,2427732411,11692
7,www.vivareal.com.br/imovel/apartamento-4-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-197m2-venda-RS1933750-id-2486364952,Rua Jacarandás da Península,197,4,4,3,1933750, 2253,2486364952,9815
9,www.vivareal.com.br/imovel/apartamento-4-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-369m2-venda-RS3900000-id-2465728334,Rua Jacarandás da Península,369,4,6,4,3900000, 4126,2465728334,10569
10,www.vivareal.com.br/imovel/apartamento-4-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-161m2-venda-RS1760000-id-2475743382,Rua Jacarandás da Península,161,4,5,2,1760000, 2200,2475743382,10931
11,www.vivareal.com.br/imovel/apartamento-2-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-114m2-venda-RS1050000-id-2481449099,Rua Jacarandás da Península,114,2,3,2,1050000, 1700,2481449099,9210
12,www.vivareal.com.br/imovel/apartamento-2-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-110m2-venda-RS1135000-id-2485702885,,110,2,1,2,1135000, 1947,2485702885,10318
13,www.vivareal.com.br/imovel/apartamento-3-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-com-garagem-123m2-venda-RS1250000-id-2486456308,Rua Jacarandás da Península,123,3,3,2,1250000, 1685,2486456308,10162
